colgpa,SAT,athlete,hsize,hsrank,hsperc,female
3.16,1040,0,189,63,33.33333,0
3.32,960,0,150,8,5.333333,0
2.36,1060,0,150,35,23.33333,0
3.47,1280,0,238,17,7.142857,0
4,1340,0,238,8,3.361345,0
1.77,1050,0,178,34,19.10112,0
2.31,1100,0,189,24,12.69841,0
3.73,980,0,238,10,4.201681,1
2.91,1130,0,189,10,5.291005,0
2.62,1140,0,63,3,4.761905,1
2.36,1000,0,23,9,39.13044,0
1.05,1060,0,23,7,30.43478,0
3.56,1190,0,494,9,1.821862,0
2.72,1090,0,396,18,4.545455,1
1.92,640,1,534,165,30.89888,0
2.2,880,0,401,27,6.733167,1
1.92,1020,0,396,33,8.333333,0
1.53,1010,0,396,37,9.343434,1
3.72,1410,0,409,5,1.222494,0
2.36,820,0,434,59,13.59447,1
0.53,880,0,413,53,12.83293,0
2.61,1010,0,413,49,11.86441,1
2.57,1240,0,409,25,6.11247,0
1.61,890,0,413,94,22.76029,1
1.6,960,0,413,123,29.78208,0
3.04,1140,0,396,9,2.272727,1
3.06,900,0,401,77,19.202,1
3.55,950,0,409,14,3.422983,1
3.61,910,0,409,45,11.00245,1
2.94,1150,0,409,16,3.91198,1
2.11,1030,0,413,52,12.5908,0
2,1070,0,413,36,8.716707,0
1.28,850,0,413,183,44.30993,0
1.92,960,0,409,40,9.779951,0
3.93,1030,0,396,4,1.010101,1
2.58,1030,0,413,24,5.811138,1
3.28,1040,0,396,26,6.565657,1
3.29,1110,0,396,5,1.262626,1
2.5,950,0,401,14,3.491272,1
3.06,960,0,401,40,9.975062,0
2.79,900,0,409,66,16.13692,0
2.28,950,0,494,83,16.80162,0
2.73,1040,0,401,22,5.486284,1
2.54,1020,0,396,10,2.525253,0
1.23,910,0,413,44,10.65375,1
1.62,890,0,79,1,1.265823,1
3.38,1200,0,275,10,3.636364,0
1.92,780,0,320,38,11.875,1
2.88,950,0,320,9,2.8125,1
2.94,950,0,276,3,1.086957,1
2.52,730,0,276,35,12.68116,0
2.61,880,0,320,14,4.375,1
3.32,1280,0,276,3,1.086957,0
2.46,1100,0,380,98,25.78947,0
2.47,890,0,106,14,13.20755,0
1.95,1110,0,102,14,13.72549,1
3.33,1130,0,103,4,3.883495,0
3.36,920,0,103,11,10.67961,0
3.17,1120,0,305,18,5.901639,0
2.38,1070,0,270,41,15.18519,0
2.3,1180,0,270,3,1.111111,0
3.1,1140,0,325,10,3.076923,0
2.48,870,0,270,44,16.2963,1
2.94,1210,0,325,13,4,0
3.04,1090,0,350,27,7.714286,0
2.78,990,0,325,8,2.461539,0
2.74,1110,0,368,16,4.347826,1
2.37,940,0,261,40,15.32567,1
3.64,1150,0,368,6,1.630435,0
3.17,1000,0,358,11,3.072626,0
2.85,980,0,261,7,2.681992,0
2.64,930,0,358,42,11.73184,1
2.94,1150,0,358,3,0.8379889,0
2.07,860,0,358,108,30.1676,1
2.33,910,0,90,15,16.66667,0
0.64,960,0,91,20,21.97802,0
0.92,900,0,198,66,33.33333,1
3.23,1250,0,226,4,1.769912,1
3.26,1180,0,219,8,3.652968,0
2.07,860,0,223,26,11.65919,0
4,1050,0,219,2,0.913242,1
3,1010,0,198,10,5.050505,0
2.33,1190,0,198,3,1.515152,1
2.77,1020,0,219,14,6.392694,0
2.93,1290,0,219,6,2.739726,0
2.38,910,0,226,69,30.53097,1
3.82,1210,0,198,1,0.5050505,0
2.43,990,0,226,57,25.22124,0
2.07,970,0,226,58,25.66372,0
2.25,940,0,226,35,15.48673,1
3.93,1310,0,219,4,1.826484,0
2.18,1000,0,198,24,12.12121,1
2.33,1060,0,219,18,8.219178,1
2.03,1000,0,223,77,34.52915,0
3.35,1010,0,226,12,5.309734,1
2.69,950,0,223,21,9.417041,1
2.97,1080,0,112,35,31.25,0
1.74,920,0,195,27,13.84615,1
2.46,1220,0,200,9,4.5,0
3.14,1040,0,192,7,3.645833,1
2.49,880,0,177,3,1.694915,1
1.92,850,0,192,16,8.333333,0
2.76,910,0,177,18,10.16949,0
2.61,1170,1,230,13,5.652174,0
3.06,1150,0,200,2,1,1
2.12,990,0,200,23,11.5,0
2.72,1000,0,200,9,4.5,1
2.89,1050,0,10,1,10,1
1.73,1160,0,10,6,60,0
3.15,1150,0,10,6,60,0
2.72,1030,0,10,7,70,0
1.91,820,0,209,49,23.44498,1
2.18,1140,0,240,32,13.33333,1
4,1140,0,219,11,5.022831,1
3.16,980,0,220,56,25.45455,1
3.45,1130,0,209,39,18.66029,0
3.14,1010,0,240,12,5,1
3.5,1080,0,220,11,5,1
2.3,960,0,224,17,7.589286,1
3.08,1020,0,209,20,9.569378,1
2.54,880,0,209,58,27.7512,1
3.23,970,0,219,12,5.479452,0
2.69,830,0,220,17,7.727273,1
3.24,1300,0,220,6,2.727273,1
2.67,980,0,220,47,21.36364,1
2.21,1220,0,220,39,17.72727,0
1.8,940,0,240,77,32.08333,1
2.78,1120,0,219,46,21.00457,1
2.38,970,0,220,72,32.72727,1
2.25,1090,0,240,62,25.83333,0
1.6,1090,0,220,78,35.45454,0
3.01,1150,0,220,61,27.72727,0
1.85,950,0,220,51,23.18182,1
1.45,1040,0,240,44,18.33333,0
4,1290,0,219,2,0.913242,1
2.76,1080,0,240,38,15.83333,1
3.43,1250,0,219,4,1.826484,1
3.31,810,0,209,21,10.04785,1
2.4,980,0,191,36,18.84817,1
1.28,700,1,191,124,64.92146,0
2.27,1030,0,211,41,19.43128,0
2.07,950,0,211,79,37.44076,0
2.43,970,0,191,20,10.4712,0
2.25,1070,0,191,16,8.376964,0
1.79,1050,0,173,8,4.624278,1
1.18,1030,0,191,37,19.37173,0
3.6,1180,0,211,14,6.635071,0
2.54,930,0,191,50,26.17801,1
3.05,1280,0,191,1,0.5235602,0
2.81,990,0,211,53,25.11848,1
3.85,1330,0,211,3,1.421801,0
1.36,880,0,191,53,27.74869,0
3.47,1140,0,211,4,1.895735,0
2.67,850,0,120,26,21.66667,0
2.35,1060,0,120,2,1.666667,1
2.35,1030,0,36,8,22.22222,0
2.86,960,0,36,6,16.66667,1
2.62,990,0,36,18,50,0
3.22,980,0,23,5,21.73913,0
2.38,1030,0,25,12,48,0
2.77,940,0,36,11,30.55556,1
2.85,1230,0,33,3,9.090909,1
2.3,1120,0,36,8,22.22222,0
3,1020,0,23,8,34.78261,1
3.64,1110,0,176,3,1.704545,0
2.28,1340,0,125,3,2.4,0
2.91,950,0,176,14,7.954545,1
2.65,1100,0,121,8,6.61157,1
1.69,1000,0,37,21,56.75676,0
3.84,1240,0,40,1,2.5,0
2.56,1000,0,40,9,22.5,0
2.5,1020,0,39,12,30.76923,0
3.18,1010,0,276,46,16.66667,1
2.75,980,0,324,41,12.65432,1
3,860,0,324,78,24.07407,1
3.36,1020,0,276,15,5.434783,0
2.27,990,0,238,59,24.78992,1
2.72,910,0,238,73,30.67227,0
2.65,1130,0,276,85,30.7971,0
2.31,930,0,276,64,23.18841,1
2.66,1170,0,324,67,20.67901,0
3,1020,0,324,193,59.5679,0
3.93,1080,0,276,9,3.26087,0
1.81,960,0,324,125,38.58025,0
0.86,810,0,324,105,32.40741,0
2.11,810,0,276,104,37.68116,1
2.5,880,0,324,34,10.49383,1
3.43,1190,0,283,8,2.826855,0
2.7,1160,0,276,37,13.4058,0
2.32,950,0,276,31,11.23188,0
3.27,1080,0,324,16,4.938272,1
2.33,1020,0,324,236,72.83951,0
3.24,1170,0,238,8,3.361345,1
2.51,900,0,276,106,38.4058,1
3.16,1180,0,324,37,11.41975,0
3.16,1150,0,323,18,5.572755,1
2,1270,0,324,142,43.82716,0
1.15,1090,0,324,149,45.98766,0
0.87,1050,0,324,80,24.69136,0
3.91,1170,0,238,5,2.10084,1
2.63,1050,0,324,111,34.25926,1
3.32,1080,0,238,44,18.48739,1
2.9,1140,0,276,20,7.246377,0
2.76,1010,0,236,77,32.62712,1
3.57,1110,0,322,5,1.552795,0
2.2,1010,0,238,24,10.08403,0
3.82,1290,0,324,6,1.851852,0
1.9,1030,0,238,95,39.91597,0
2.11,1250,0,324,20,6.17284,0
1.91,1110,0,238,67,28.15126,0
3.19,1060,0,238,19,7.983193,0
3.29,1070,0,283,10,3.533569,1
2.82,890,0,12,2,16.66667,1
3.33,910,0,10,1,10,1
2.41,1130,0,12,3,25,0
2.62,1020,0,11,4,36.36364,0
2.83,1240,0,574,14,2.439024,0
1.88,900,0,556,88,15.82734,1
2.52,900,0,556,34,6.115108,1
2.05,860,0,574,195,33.97213,0
2.42,950,0,526,134,25.47528,1
2.35,1160,0,503,60,11.92843,0
2.15,1140,0,503,55,10.93439,0
1.96,1010,0,503,73,14.51292,1
1.77,990,0,556,195,35.07194,0
2,1120,0,526,61,11.59696,0
2.64,1070,0,526,46,8.745247,0
1.2,1020,0,526,78,14.8289,1
1.75,1030,0,556,163,29.31655,0
2.75,990,0,526,52,9.885932,1
2.42,930,0,556,76,13.66906,0
2.31,790,0,556,51,9.172662,1
3.63,1090,0,526,16,3.041825,1
2.59,1020,0,539,53,9.833024,1
2.91,1220,0,556,36,6.47482,1
2.52,1010,0,539,217,40.25974,0
1.61,1090,0,526,125,23.76426,0
0.8,900,0,526,173,32.88973,0
1.77,1120,0,538,128,23.79182,0
1,950,0,526,125,23.76426,0
2.6,790,0,556,176,31.65468,0
3.11,1130,0,539,32,5.93692,0
2.37,1080,1,539,152,28.20037,0
2.46,1140,0,526,76,14.44867,0
2.29,970,0,539,171,31.72542,0
3.23,980,0,526,18,3.422053,1
2.66,970,0,526,23,4.372623,1
2.06,930,0,539,109,20.22264,0
2.13,820,1,526,160,30.41825,1
2.64,1220,0,503,59,11.72962,0
2.5,1100,0,503,88,17.49503,0
2.7,1170,0,574,24,4.181185,0
2.03,1040,0,539,47,8.719851,1
0.28,1140,0,526,140,26.61597,0
2.16,890,0,503,66,13.12127,0
1.71,1230,0,526,45,8.555133,0
2.62,840,0,539,124,23.00557,1
2.13,1000,0,556,37,6.654676,0
2.23,1020,0,556,75,13.48921,0
2.07,1160,0,539,38,7.050093,0
2.49,750,0,539,70,12.98701,1
2.64,740,0,132,36,27.27273,0
2.88,910,0,101,7,6.930693,0
3.52,1200,0,94,1,1.06383,0
3.46,1140,0,132,4,3.030303,1
3,930,0,132,20,15.15152,0
2.81,990,0,101,24,23.76238,0
2.5,880,0,178,24,13.48315,0
3.25,1120,0,196,41,20.91837,0
2.66,790,0,192,9,4.6875,1
2.29,950,0,192,15,7.8125,0
2.88,970,0,196,24,12.2449,1
2.58,1170,0,171,1,0.5847953,1
2.74,840,0,230,37,16.08696,0
2.91,960,0,192,18,9.375,0
2.05,970,0,196,29,14.79592,0
3.53,1080,0,196,36,18.36735,1
2.75,860,0,178,22,12.35955,1
2.83,1040,0,178,12,6.741573,1
2.08,980,0,192,32,16.66667,1
2.02,1130,0,250,101,40.4,0
3.51,990,0,204,60,29.41176,0
2.81,1010,0,237,58,24.47257,1
3.4,1010,0,238,18,7.563025,1
2,1090,0,237,117,49.36709,0
2.52,1090,0,237,48,20.25316,1
2.64,840,0,237,84,35.44304,1
2.29,1310,0,238,147,61.76471,0
2.05,830,0,238,70,29.41176,0
4,1100,0,237,17,7.172996,1
3.81,970,0,237,25,10.54852,0
3.6,1010,0,237,21,8.86076,1
4,1170,0,237,12,5.063291,0
3.36,1090,0,238,55,23.10924,1
3.18,1040,0,237,38,16.03375,1
2.94,1080,0,251,18,7.171315,1
3.2,1010,0,238,46,19.32773,0
1.76,1070,0,237,127,53.5865,0
2.91,1060,0,238,38,15.96639,1
3.03,1310,0,251,29,11.55379,1
2.86,1050,0,237,88,37.1308,1
3.53,1090,0,204,16,7.843137,1
3.2,880,0,237,66,27.8481,1
2.61,1070,0,238,45,18.90756,1
3.41,1290,0,237,11,4.64135,1
2,1120,0,237,49,20.67511,1
2.75,1110,0,251,90,35.85658,0
2.22,1090,0,204,88,43.13726,1
2.44,960,0,238,54,22.68908,1
3.22,930,0,237,58,24.47257,1
3.16,1210,0,237,49,20.67511,0
2.23,1300,0,251,61,24.30279,0
2.18,1040,0,237,140,59.07173,0
1.66,1050,0,237,83,35.0211,0
2.7,990,0,251,34,13.54582,1
2.53,810,0,204,31,15.19608,0
2.54,1010,0,204,36,17.64706,0
2.53,900,0,246,109,44.30894,0
3.33,1180,0,238,17,7.142857,0
3.01,980,0,251,62,24.70119,1
2.06,940,0,238,63,26.47059,0
3.21,1110,0,41,2,4.878049,0
1.38,1080,0,51,8,15.68627,0
3.54,870,0,30,1,3.333333,1
2.98,830,0,139,16,11.51079,1
3.21,930,0,139,1,0.7194245,0
3.35,1150,0,139,3,2.158273,1
3.01,790,0,139,13,9.352518,1
2.05,1000,0,176,31,17.61364,0
2.1,1050,0,176,56,31.81818,0
2.74,870,0,139,9,6.47482,1
3.21,1180,0,176,19,10.79545,0
1.99,830,0,160,21,13.125,1
1.38,1050,0,165,14,8.484848,1
1.25,1060,0,60,6,10,0
2.56,960,0,16,2,12.5,0
2.44,990,0,338,20,5.91716,1
2.85,900,0,320,25,7.8125,1
2.71,970,0,338,7,2.071006,1
3.07,1430,0,364,42,11.53846,0
2.32,1110,0,320,16,5,0
3.75,1130,0,310,8,2.580645,0
3.61,1230,0,310,5,1.612903,0
1.81,1000,0,320,97,30.3125,0
2.33,940,0,310,19,6.129032,1
3.41,1110,0,310,11,3.548387,0
2.49,1020,0,364,36,9.89011,0
1.25,950,0,310,14,4.516129,1
3,1130,0,310,72,23.22581,0
2.81,1150,0,310,17,5.483871,0
3.13,1010,0,320,13,4.0625,1
2.92,1150,0,310,45,14.51613,0
1.79,990,0,320,60,18.75,1
2.81,1020,0,364,15,4.120879,1
2.39,1040,0,320,34,10.625,0
2.34,720,0,102,12,11.76471,0
0.72,1070,0,125,7,5.6,0
3.5,1040,0,125,4,3.2,1
3.4,1090,0,85,2,2.352941,1
1.23,900,0,85,20,23.52941,0
3.44,1020,0,75,3,4,1
2.56,700,0,55,8,14.54545,1
2.54,750,0,175,28,16,0
3.02,930,0,175,32,18.28572,0
3.18,1240,0,175,3,1.714286,1
4,1300,0,210,1,0.4761905,1
2.88,1150,0,201,34,16.91542,0
3.14,1140,0,133,23,17.29323,0
2.66,1010,0,170,26,15.29412,0
2,1010,0,170,24,14.11765,0
3,1160,0,201,15,7.462687,1
3.21,1060,0,450,14,3.111111,1
1.75,820,0,233,46,19.74249,1
2.01,940,0,133,28,21.05263,0
2.97,1100,0,170,4,2.352941,1
2.5,1100,0,175,1,0.5714286,1
2.64,1140,0,25,14,56,0
2.06,930,0,36,16,44.44444,1
3.13,1030,0,27,3,11.11111,1
2.62,960,0,27,14,51.85185,0
2.65,1020,0,27,8,29.62963,0
2.91,860,0,215,2,0.9302326,1
2.64,770,0,168,7,4.166667,1
3,1000,0,216,4,1.851852,0
2.14,860,0,168,1,0.5952381,1
3.29,960,0,218,1,0.4587156,0
2,830,0,207,3,1.449275,1
3,980,0,8,1,12.5,0
3.12,970,0,409,104,25.42787,0
1.86,1150,0,362,3,0.8287293,1
2.31,860,0,409,39,9.535452,1
2.5,970,0,409,9,2.200489,1
2.51,980,0,362,11,3.038674,1
2.52,1290,0,348,2,0.5747126,0
1.89,640,1,353,230,65.15581,0
4,1260,0,409,1,0.2444988,1
2.36,970,0,348,20,5.747127,0
3.44,1190,0,409,5,1.222494,0
2.4,1190,0,345,40,11.5942,0
2.59,1050,0,310,61,19.67742,0
2.88,760,0,319,32,10.03135,0
2.1,1030,0,333,33,9.90991,1
3.68,1080,0,345,21,6.086957,0
2.89,1070,0,333,11,3.303303,1
2.22,1020,0,319,44,13.7931,0
1.73,740,0,345,45,13.04348,1
1.75,990,0,345,77,22.31884,0
2.44,1100,0,345,33,9.565217,0
2.97,1060,0,310,53,17.09678,0
2.38,1190,0,310,4,1.290323,0
3.56,1270,0,333,4,1.201201,0
2.51,1250,0,333,14,4.204204,0
2.58,980,0,319,37,11.59875,1
1.86,910,0,345,141,40.86956,0
2.58,1180,0,333,7,2.102102,0
2.82,1070,0,345,10,2.898551,0
1.23,920,0,319,127,39.81191,0
3.54,1190,0,333,22,6.606606,0
3.56,1180,0,319,16,5.015674,0
2.65,860,0,332,23,6.927711,1
2.86,1070,0,165,3,1.818182,0
3.74,1070,0,156,2,1.282051,0
2.57,1030,1,176,27,15.34091,0
2.05,880,0,156,33,21.15385,0
2.29,970,0,181,26,14.36464,1
1.4,1040,0,181,12,6.629834,0
2.03,1050,0,156,15,9.615385,1
3.47,1180,0,181,2,1.104972,0
3,1100,0,181,12,6.629834,0
2.71,1020,0,165,26,15.75758,0
2.06,910,0,181,11,6.077348,0
2.07,810,0,156,20,12.82051,0
3.44,980,0,181,7,3.867403,1
1.97,1020,0,156,10,6.410256,0
2.97,950,0,165,10,6.060606,1
2.91,1040,0,575,12,2.086957,1
2.06,960,0,687,236,34.35226,0
2.31,1070,0,575,96,16.69565,0
2.35,900,0,715,302,42.23776,0
3.19,1100,0,575,36,6.26087,0
2.69,1040,0,610,71,11.63934,1
2.25,1000,0,578,365,63.14879,0
3.09,990,0,687,239,34.78894,0
3.43,1180,0,715,16,2.237762,1
1.75,970,0,687,307,44.68705,0
3.65,1040,0,700,166,23.71428,0
2.95,1140,0,595,43,7.226891,0
2.33,910,0,575,132,22.95652,0
1.97,1140,0,687,278,40.46579,1
1.94,1040,0,575,188,32.69565,0
2.67,1110,0,610,157,25.73771,0
2.29,710,0,687,225,32.75109,1
1.76,1030,0,687,261,37.99127,0
3.62,1200,0,715,17,2.377622,1
3.46,990,0,687,223,32.45997,0
2.75,1150,0,715,98,13.70629,1
3.34,810,0,575,34,5.913043,1
2.37,970,0,715,172,24.05594,1
3.27,930,0,575,61,10.6087,1
2.79,970,0,687,46,6.695779,1
2.06,960,0,575,98,17.04348,0
2.19,1090,0,610,202,33.11475,1
1.3,1050,0,715,634,88.67133,0
2.48,1040,0,700,118,16.85714,1
2.21,1040,0,687,266,38.71907,1
2.62,1040,0,715,135,18.88112,1
2.12,970,0,687,124,18.04949,1
4,1070,0,715,153,21.3986,0
2.22,1040,0,610,85,13.93443,0
2.04,1070,0,610,132,21.63935,0
3.36,1230,0,687,83,12.08151,1
2.12,940,0,575,173,30.08696,0
3.71,1150,0,575,15,2.608696,1
1.56,1090,0,715,399,55.8042,0
1.92,860,0,700,370,52.85714,1
3.52,940,0,687,180,26.20087,1
1.33,1070,0,715,300,41.95804,0
2.92,890,0,715,198,27.69231,1
3.21,1090,0,687,57,8.296944,1
1.18,840,1,715,511,71.46853,0
3.09,960,0,610,28,4.590164,1
2,1090,0,687,242,35.22562,0
2.42,810,0,575,184,32,1
3.28,910,0,687,91,13.246,1
2.42,1020,0,715,234,32.72727,0
1.96,920,0,687,247,35.95342,1
3.03,1280,0,575,40,6.956522,0
2.79,960,0,575,213,37.04348,0
2.31,980,0,715,170,23.77622,1
2.93,1070,0,715,150,20.97902,1
2.92,1160,0,575,104,18.08696,0
3.83,1400,0,715,107,14.96504,1
1.54,1070,0,610,105,17.21312,1
2.13,1010,0,575,81,14.08696,0
3,1160,0,575,21,3.652174,0
2.97,890,0,610,85,13.93443,1
2.45,1020,0,687,391,56.91412,1
2.12,1220,0,610,137,22.45902,0
2.17,1050,0,715,249,34.82518,0
2.6,1260,0,700,47,6.714286,0
2.59,1000,0,575,99,17.21739,1
3.67,1040,0,575,44,7.652174,0
2.51,930,0,575,97,16.86957,1
0.41,900,0,715,341,47.69231,0
3.06,1020,0,715,38,5.314685,1
2.1,990,1,715,279,39.02098,0
2,950,1,715,346,48.39161,0
3.11,1190,0,715,123,17.2028,0
1.97,1040,0,700,141,20.14286,1
2.47,1000,0,687,260,37.84571,1
1.82,1000,0,700,450,64.28571,0
1.76,920,0,715,243,33.98602,0
1.5,1180,1,771,481,62.38651,0
2,870,0,595,253,42.52101,1
2.12,1050,1,687,314,45.70597,0
3.01,1210,0,610,58,9.508197,0
2.7,1330,0,715,265,37.06294,0
2.8,1050,0,715,141,19.72028,1
3.01,1150,0,610,117,19.18033,0
0.91,900,0,771,78,10.11673,1
2.94,1050,0,610,28,4.590164,1
1.91,1060,0,610,105,17.21312,0
2.86,950,0,575,78,13.56522,0
2.4,990,0,715,129,18.04196,1
1.87,950,0,687,319,46.43377,0
3.83,1120,0,154,1,0.6493506,0
2.94,900,1,132,18,13.63636,0
2.53,1260,0,154,12,7.792208,1
1.38,1000,0,109,10,9.174312,0
2.1,920,0,120,12,10,1
2.64,860,0,154,15,9.74026,0
2.76,910,0,154,14,9.090909,1
1.73,1130,0,132,27,20.45455,0
3,790,0,140,30,21.42857,1
1.42,1000,0,166,21,12.6506,1
2.21,970,0,120,16,13.33333,1
1.97,490,1,144,55,38.19444,1
3.25,1120,0,14,6,42.85714,0
1.81,1060,0,81,7,8.641975,0
2.66,920,0,75,4,5.333333,1
1.93,900,0,81,30,37.03704,1
3.11,1040,0,75,3,4,0
2,950,0,60,9,15,0
2.39,910,0,67,7,10.44776,0
2.24,910,0,49,4,8.163265,1
3.23,890,0,45,2,4.444445,1
2.52,750,0,45,10,22.22222,1
2.68,920,0,131,21,16.03053,1
3.5,1000,0,131,5,3.816794,1
2.75,800,0,131,13,9.923664,1
2,830,0,142,4,2.816901,1
1.54,730,0,127,28,22.04725,0
3,1260,0,127,2,1.574803,0
2.34,850,0,84,5,5.952381,1
2.89,880,0,84,6,7.142857,0
2.02,910,0,193,4,2.072539,0
2.66,950,0,44,7,15.90909,1
2.28,950,0,50,22,44,0
3.26,950,0,48,7,14.58333,0
2.31,1000,0,50,9,18,0
1.88,950,0,50,16,32,0
3.36,920,0,44,4,9.090909,1
2.02,1020,0,47,11,23.40425,0
4,1100,0,48,1,2.083333,1
4,1050,0,31,1,3.225806,1
2.6,910,0,25,13,52,0
2.81,970,0,23,2,8.695652,0
3.33,1090,0,252,14,5.555555,0
2.91,750,0,213,4,1.877934,1
3.02,1200,0,59,1,1.694915,1
2.75,960,0,97,7,7.216495,0
2.57,940,0,97,8,8.247422,1
1.93,880,0,86,28,32.55814,0
2.7,1110,0,75,2,2.666667,1
2.35,970,0,75,6,8,1
3.05,1080,0,360,21,5.833333,0
2.2,1050,0,355,20,5.633803,1
2.73,1060,0,341,9,2.639296,0
1.51,930,0,332,45,13.55422,0
2.33,1130,0,360,74,20.55556,0
2.82,1120,0,340,12,3.529412,0
3.69,1150,0,377,22,5.835544,1
3.44,1290,0,341,18,5.278593,1
3,1010,0,360,7,1.944444,0
1.68,880,0,355,51,14.3662,1
1.95,950,0,377,39,10.34483,1
2.16,740,0,83,18,21.68675,0
3.76,1060,0,247,3,1.214575,1
2.62,960,0,239,22,9.205021,1
2.63,850,0,239,8,3.34728,1
2,1110,0,261,21,8.045977,0
2.14,950,0,247,12,4.8583,1
2.88,1440,0,261,7,2.681992,0
2.02,1000,0,247,11,4.453441,0
2.4,1140,0,239,26,10.87866,1
2.26,1080,0,91,8,8.791209,0
2.2,1000,0,71,2,2.816901,1
3,1000,0,332,15,4.518072,1
2.47,1070,0,304,5,1.644737,0
3,1130,0,328,21,6.402439,0
2.69,1140,0,332,31,9.337349,0
2.17,1000,0,328,27,8.231708,1
2.6,1110,0,328,8,2.439024,1
2.24,1140,0,293,40,13.65188,0
3.39,960,0,304,2,0.6578947,0
3.33,1160,0,293,11,3.754266,0
2.15,980,0,332,44,13.25301,0
3.45,1200,0,293,3,1.023891,0
3.64,920,0,328,7,2.134146,0
1.76,1130,0,304,28,9.210526,0
3.72,890,0,332,23,6.927711,0
2.18,910,0,293,62,21.16041,1
2.81,1010,0,328,40,12.19512,0
2.33,1110,0,332,21,6.325301,0
2.85,1010,0,304,21,6.907895,0
4,1280,0,328,4,1.219512,1
3.41,990,0,10,2,20,1
2.06,1330,0,407,14,3.439803,1
2.18,1060,0,375,126,33.6,1
3.22,1340,0,449,23,5.122494,1
2.97,1040,0,364,29,7.967033,1
3.22,1010,0,375,24,6.4,1
2.27,810,0,375,51,13.6,0
3,1170,0,449,24,5.345212,0
3.47,1320,0,375,8,2.133333,1
3.56,920,0,375,128,34.13334,0
2.21,860,0,375,91,24.26667,1
2.75,950,0,341,32,9.384164,1
1.93,880,0,449,143,31.84855,1
3.78,1200,0,449,6,1.336303,1
2.12,920,0,364,57,15.65934,1
2.47,970,0,449,31,6.904232,1
2.55,840,0,364,48,13.18681,1
2.81,1010,0,449,18,4.008909,1
2.06,850,0,449,70,15.5902,1
3.45,1160,0,364,4,1.098901,1
2.11,1060,0,375,63,16.8,1
1.86,980,0,449,220,48.99777,0
3.25,1300,0,364,16,4.395605,0
2.76,1240,0,449,17,3.786191,0
3.14,990,0,375,64,17.06667,1
3.29,1190,0,687,100,14.55604,0
3.8,1230,0,364,8,2.197802,1
1.73,1000,0,116,22,18.96552,0
1.76,710,1,117,65,55.55556,1
3.06,1290,0,126,21,16.66667,0
2.42,960,0,10,1,10,1
2.67,1090,0,120,5,4.166667,0
2.23,1010,0,120,13,10.83333,0
3,1190,0,120,1,0.8333333,0
2.71,950,0,120,12,10,1
2.93,890,0,120,9,7.5,1
3.24,1280,0,104,3,2.884615,1
2.72,950,0,100,12,12,0
2.68,840,0,100,14,14,1
2.84,1150,0,120,4,3.333333,1
3.16,1080,0,100,1,1,1
1.87,1070,0,35,1,2.857143,1
3.52,1200,0,129,1,0.7751938,1
2.63,870,0,34,17,50,0
2.17,960,0,34,14,41.17647,1
3.66,1140,0,34,1,2.941176,0
1.94,1200,0,34,15,44.11765,0
2.5,950,0,25,6,24,0
3.32,1060,0,37,11,29.72973,0
2.21,900,1,30,17,56.66667,0
0.81,920,0,234,34,14.52991,1
1.43,910,0,234,21,8.974359,1
2.45,1030,0,214,30,14.01869,1
3.17,1110,0,176,7,3.977273,0
2.84,970,0,211,15,7.109005,1
2.72,1180,0,176,6,3.409091,0
3.01,1060,0,176,15,8.522727,1
1.86,910,0,176,17,9.659091,0
2.98,1150,0,286,50,17.48252,1
2.62,1110,0,277,67,24.18773,0
2.07,850,0,300,161,53.66667,0
2.44,930,0,277,26,9.386282,0
3.03,1130,0,277,9,3.249098,1
3.06,1200,0,300,42,14,1
2.31,1000,0,259,126,48.64865,1
2.31,1050,0,259,76,29.34363,0
1.63,1010,0,300,213,71,1
2.91,990,0,277,59,21.29964,1
2.29,910,0,277,63,22.74368,1
2.31,760,0,284,148,52.11267,1
3.06,1180,0,300,24,8,0
3.33,1040,0,286,28,9.79021,0
3.42,1190,0,300,13,4.333333,0
3,1070,0,286,75,26.22378,1
2.26,860,1,259,70,27.02703,0
4,1310,0,259,3,1.158301,1
2.68,1150,0,300,48,16,1
2.57,1360,0,259,5,1.930502,0
2.91,860,0,300,78,26,1
2.77,1100,0,277,43,15.52347,0
2.76,1060,0,259,40,15.44402,0
2.69,950,0,302,41,13.57616,0
1.71,1070,0,300,91,30.33333,0
3.17,1110,0,300,31,10.33333,0
4,1260,0,259,7,2.702703,0
2.88,930,0,259,54,20.84942,1
3.55,1180,0,277,21,7.581227,0
2.27,890,0,300,108,36,1
3.25,1140,0,277,73,26.35379,0
2.58,1100,0,286,80,27.97203,0
2.97,1030,0,259,30,11.58301,0
1.7,960,0,300,132,44,0
3.17,960,0,277,36,12.99639,0
2.52,1160,0,300,149,49.66667,0
2.59,960,0,259,67,25.86873,0
3.52,1160,0,286,21,7.342658,0
3.57,1010,0,277,34,12.27437,1
3.36,1300,0,300,47,15.66667,0
2.71,1080,0,302,68,22.51656,1
3.66,1090,0,277,8,2.888087,1
1.92,1170,0,300,85,28.33333,0
1.46,1040,0,300,185,61.66667,0
1.7,830,0,300,97,32.33333,1
3.35,1090,0,66,2,3.030303,0
2.28,790,0,62,12,19.35484,0
3.82,820,0,62,7,11.29032,1
1.8,760,0,5,1,20,0
1.93,750,0,20,6,30,0
0.46,930,0,20,7,35,0
